id,gen,sp,en,cnt,loc,lat,lng,type,q,length,file,date,familia,nombre_comun,region
1069396,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Amacayacu NP Leticia, Amazonas",-3.4449,,song,A,0:38,https://xeno-canto.org/1069396/download,1987-03-00,Tinamidae,Tinamú cenizo,Amazonia
743526,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Leticia, Leticia, Amazonas",-4.2173,,song,A,1:16,https://xeno-canto.org/743526/download,2022-05-02,Tinamidae,Tinamú cenizo,Amazonia
117975,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Reserva Biológica El Zafire, Leticia, Amazonas",-4.005333,,song,A,0:48,https://xeno-canto.org/117975/download,2007-12-11,Tinamidae,Tinamú cenizo,Amazonia
117974,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Reserva Biológica El Zafire, Leticia, Amazonas",-4.005333,,song,A,2:38,https://xeno-canto.org/117974/download,2007-12-07,Tinamidae,Tinamú cenizo,Amazonia
58421,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Ome Ecological Station, Purite River, Amazonas dep. 70 Km N of Leticia",,,"duet, song",A,1:36,https://xeno-canto.org/58421/download,2009-08-05,Tinamidae,Tinamú cenizo,Amazonia
117474,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Amacaycau, Leticia, Amazonas",-3.871667,,song,C,0:58,https://xeno-canto.org/117474/download,2001-10-12,Tinamidae,Tinamú cenizo,Amazonia
616210,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Caño Lagunilla - Morelia, Caquetá",1.4501,,song,A,0:23,https://xeno-canto.org/616210/download,2021-01-16,Tinamidae,Tinamú cenizo,Amazonia
117441,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.1863889,,song,A,1:54,https://xeno-canto.org/117441/download,2000-01-04,Tinamidae,Tinamú cenizo,Amazonia
117440,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.1863889,,song,A,3:14,https://xeno-canto.org/117440/download,2000-01-04,Tinamidae,Tinamú cenizo,Amazonia
117400,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2176111,,song,A,4:03,https://xeno-canto.org/117400/download,2001-02-01,Tinamidae,Tinamú cenizo,Amazonia
117399,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2176111,,song,A,6:41,https://xeno-canto.org/117399/download,2001-02-01,Tinamidae,Tinamú cenizo,Amazonia
117398,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2176111,,song,A,1:58,https://xeno-canto.org/117398/download,2001-02-01,Tinamidae,Tinamú cenizo,Amazonia
117397,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2176111,,song,A,1:41,https://xeno-canto.org/117397/download,2001-02-01,Tinamidae,Tinamú cenizo,Amazonia
117376,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.1819444,,song,A,3:32,https://xeno-canto.org/117376/download,2000-01-04,Tinamidae,Tinamú cenizo,Amazonia
117375,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.1819444,,song,A,2:13,https://xeno-canto.org/117375/download,2000-01-04,Tinamidae,Tinamú cenizo,Amazonia
117374,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.1819444,,song,A,2:11,https://xeno-canto.org/117374/download,2000-01-04,Tinamidae,Tinamú cenizo,Amazonia
117361,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2605556,,song,A,1:15,https://xeno-canto.org/117361/download,2000-01-01,Tinamidae,Tinamú cenizo,Amazonia
117360,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2605556,,song,A,0:32,https://xeno-canto.org/117360/download,2000-01-01,Tinamidae,Tinamú cenizo,Amazonia
117359,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2605556,,song,A,1:24,https://xeno-canto.org/117359/download,2000-01-01,Tinamidae,Tinamú cenizo,Amazonia
117358,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2605556,,song,A,0:43,https://xeno-canto.org/117358/download,2000-01-01,Tinamidae,Tinamú cenizo,Amazonia
117357,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"PNN Chiribiquete, Solano, Caquetá",0.2605556,,song,A,0:48,https://xeno-canto.org/117357/download,2000-01-01,Tinamidae,Tinamú cenizo,Amazonia
683923,Crypturellus,cinereus,Cinereous Tinamou,Colombia,"Bosque de los Carpinteros - San Jorge/Morelia, Caquetá",1.4719,,song,B,1:59,https://xeno-canto.org/683923/download,2021-08-27,Tinamidae,Tinamú cenizo,Amazonia
