clase,support,f1_baseline,ap_baseline,auc_roc_baseline,f1_attention,ap_attention,auc_roc_attention,delta_f1,delta_ap,delta_auc
Chordeiles_pusillus,36,0.5614035087719298,0.9248346560846564,0.9984323621625756,0.8947368421052632,0.9913580246913584,0.9998852947923836,0.33333333333333337,0.06652336860670194,0.001452932629808057
Celeus_grammicus,244,0.15,0.2285041512082167,0.7716827279466272,0.3755868544600939,0.317829667976987,0.8233421234915967,0.22558685446009388,0.08932551676877026,0.051659395544969566
Frederickena_fulva,52,0.3,0.3341004333179593,0.8616449294649986,0.5,0.7350344625987091,0.9667553899387809,0.2,0.4009340292807498,0.10511046047378225
Trogon_viridis,536,0.4666666666666667,0.4710588889920573,0.8048349276063571,0.5870307167235495,0.6139686656394338,0.8556128335876726,0.12036405005688278,0.14290977664737647,0.050777905981315485
Ramphastos_tucanus,340,0.6575342465753424,0.7717071007275937,0.8968350137902971,0.7748344370860927,0.7642657445669049,0.8618845232174345,0.11730019051075025,-0.007441356160688861,-0.03495049057286259
Crypturellus_undulatus,202,0.264367816091954,0.2589776130501957,0.8276143672761437,0.3291139240506329,0.3820181957231069,0.8606128496061284,0.06474610795867891,0.12304058267291124,0.0329984823299847
Crypturellus_cinereus,516,0.8549323017408124,0.9360216321740074,0.98537804277945,0.8928571428571429,0.9459765422317932,0.984317183995092,0.03792484111633054,0.009954910057785815,-0.0010608587843579098
Rupornis_magnirostris,28,0.0526315789473684,0.045408661227699,0.8589077360525541,0.0625,0.0412588354449912,0.8498382194332778,0.009868421052631603,-0.004149825782707804,-0.009069516619276352
Lipaugus_vociferans,318,0.7058823529411765,0.7985389364559493,0.9528206013192208,0.6956521739130435,0.7474364958822696,0.9233826123638594,-0.010230179028133057,-0.05110244057367974,-0.029437988955361316
no_ave,480,0.9094412331406552,0.9876968503107708,0.996963850528026,0.8603773584905661,0.9717444576980384,0.9883225020308692,-0.0490638746500891,-0.015952392612732402,-0.008641348497156809
Glaucidium_brasilianum,190,0.6742857142857143,0.7460301791670428,0.953626070991432,0.6147186147186147,0.7772839460025777,0.9689794981640146,-0.0595670995670996,0.031253766835534824,0.01535342717258259
