clase,support,precision,recall,f1,ap,auc_roc
no_ave,480,0.8458781362007168,0.9833333333333333,0.9094412331406551,0.9876968503107708,0.9969638505280259
Crypturellus_cinereus,516,0.8532818532818532,0.8565891472868217,0.8549323017408124,0.9360216321740074,0.98537804277945
Lipaugus_vociferans,318,0.7846153846153846,0.6415094339622641,0.7058823529411765,0.7985389364559493,0.9528206013192208
Glaucidium_brasilianum,190,0.7375,0.6210526315789474,0.6742857142857143,0.7460301791670428,0.953626070991432
Ramphastos_tucanus,340,0.6153846153846154,0.7058823529411765,0.6575342465753424,0.7717071007275937,0.8968350137902971
Chordeiles_pusillus,36,0.41025641025641024,0.8888888888888888,0.5614035087719298,0.9248346560846563,0.9984323621625756
Trogon_viridis,536,0.44039735099337746,0.4962686567164179,0.4666666666666667,0.4710588889920573,0.8048349276063571
Frederickena_fulva,52,0.42857142857142855,0.23076923076923078,0.3,0.3341004333179593,0.8616449294649986
Crypturellus_undulatus,202,0.3150684931506849,0.22772277227722773,0.26436781609195403,0.25897761305019573,0.8276143672761437
Celeus_grammicus,244,0.3157894736842105,0.09836065573770492,0.15,0.2285041512082167,0.7716827279466272
Rupornis_magnirostris,28,0.03225806451612903,0.14285714285714285,0.05263157894736842,0.045408661227699085,0.8589077360525541
